"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2018-03-23","16","Forest Run","","","00:54:22","","","","00:54:22","","","6.5","74.0","3.0","","142","166","","","","","","","","","Saucony Peregrine","","Forest running with map reading along the way. ",""
"2018-03-24","8","Trail Run","","","01:37:28","","","","01:37:28","","","14.9","180.0","3.0","","149","187","","","","","","","","","Saucony Peregrine","","Took it a bit easier on this SMT, strides on the flats. ",""
"2018-03-26","16","Trail Run","","","00:43:05","","","","00:43:05","","","7.2","110.0","3.0","","153","172","","","","","","","","1","Saucony Peregrine","","Legs felt very tired even with taking it pretty easy so decided to shorten my run abit. ",""
"2018-03-26","21","Strength","warm up/down","","00:11:22","","00:11:22","","","","","","","1.0","","","","","","","","","","","","","","2 minute plank with leg lefts
15 lunges each leg
15 ball march each leg
25 Reactive elastic hip extension each leg",""
"2018-03-27","18","Trail Run","warm up/down","","00:31:12","","","00:31:12","","","","4.8","155.0","2.0","","137","151","","","","","","","","","Saucony Peregrine","","Was planning to do TNT but when I was heading to place where I would be running I found that my legs were very worn out from just the warm up so decide to turn back and not push my legs.",""
"2018-03-28","19","Orienteering","","","00:42:07","","","","00:42:07","","","4.4","145.0","3.0","","140","166","","","","","","","","","Saucony Peregrine","","Some point to point orienteering at ARX. Still was feeling my legs so didn't push them again. ",""
"2018-03-29","","Note","","","","","","","","","","","","","","","","","","","","","","","","","","Taking the next two days off to gives my legs so full rest",""
"2018-03-31","","Trail Run","long","","01:34:34","","","","01:34:34","","","14.4","300.0","3.0","","158","186","","","","","","","","","Saucony Peregrine","","SMT with Tarv. Ankle did come up at along the run but legs were still not quite there.",""
"2018-04-01","17","Trail Run","","","00:36:55","","","","00:36:55","","","5.8","80.0","3.0","","146","169","","","","","","","","","Saucony Peregrine","","Steady state training. ",""
"2018-04-01","21","Strength","warm up/down","","00:10:34","","00:10:34","","","","","","","1.0","","","","","","","","","","","","","","2 minute plank with leg lefts
20 lunges each leg
30 Reactive elastic hip extension each leg
20 leg ups",""
"2018-04-02","16","Trail Run","tempo","","00:45:55","","","","","00:45:55","","8.8","115.0","4.0","","158","190","","","","","","","","","Saucony Peregrine","","10 minutes for warm up. Then 5 minutes tempo, 2 minutes recovery. Repeated 5 times. Then about 10 minutes of cool down. ",""
"2018-04-02","21","Strength","warm up/down","","00:12:12","","00:12:12","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back strength",""
"2018-04-03","","Note","","","","","","","","","","","","","","","","","","","","","","","","","","Skipped TNT tonight with Flying Pig coming up. ",""
"2018-04-03","21","Strength","warm up/down","","00:14:18","","00:14:18","","","","","","","1.0","","","","","","","","","","","","","","2 minute plank with leg lefts
15 lunges each leg
25 leg ups
15 pistol squats
15 ball bridge each leg",""
"2018-04-04","","Trail Run","","","00:29:46","","","","00:29:46","","","5.5","75.0","3.0","","155","167","","","","","","","","1","Saucony Peregrine","","Steady state training. ",""
"2018-04-04","22","Strength","warm up/down","","00:08:17","","00:08:17","","","","","","","1.0","","","","","","","","","","","","","","2 sets of back strength",""
"2018-04-06","17","Orienteering","race","","00:30:45","","","","","","00:30:45","4.9","90.0","5.0","","170","201","","","","","","","","","VJ Sport Bold","","Really good first race, only a couple minor mistakes.",""
"2018-04-06","17","Trail Run","warm up/down","","00:30:00","","00:30:00","","","","","4.0","","1.0","","","","","","","","","","","","VJ Sport Bold","","Warm up",""
"2018-04-07","10","Orienteering","race","","00:46:04","","","","","00:46:04","","9.3","60.0","4.0","","162","185","","","","","","","","","VJ Sport Bold","","Golf course was quite fast but not too technical.",""
"2018-04-07","10","Trail Run","warm up/down","","00:30:00","","00:30:00","","","","","4.0","","1.0","","","","","","","","","","","","VJ Sport Bold","","Warm up to long",""
"2018-04-07","11","Trail Run","warm up/down","","00:10:00","","00:10:00","","","","","1.0","","1.0","","","","","","","","","","","","VJ Sport Bold","","Cool down",""
"2018-04-08","9","Orienteering","race","","00:27:47","","","","","00:27:47","","5.7","10.0","4.0","","157","183","","","","","","","","","Saucony Peregrine","","Pretty good finally race of the weekend. ",""
"2018-04-08","9","Trail Run","warm up/down","","00:25:00","","00:25:00","","","","","4.0","","1.0","","","","","","","","","","","","Saucony Peregrine","","Warm up",""
"2018-04-08","10","Trail Run","warm up/down","","00:10:00","","00:10:00","","","","","2.0","","1.0","","","","","","","","","","","","Saucony Peregrine","","Cool down",""
"2018-04-09","16","Trail Run","","","00:36:41","","","","00:36:41","","","7.4","105.0","3.0","","","","","","","","","","","","Mizuno Wave Rider","","Nice easy run after the weekend",""
"2018-04-10","15","Trail Run","warm up/down","","00:12:00","","","00:12:00","","","","2.3","","2.0","","","","","","","","","","","","Saucony Peregrine","","Warm up and cool down to intervals",""
"2018-04-10","15","Orienteering","intervals","","00:33:30","","","","","00:33:30","","6.5","55.0","4.0","","","","","","","","","","","","Saucony Peregrine","","First school orienteering practice but since the course was very easy did in all evens then all odds with alternating interval high intensity legs and rest legs. ",""
"2018-04-11","19","Orienteering","","Core","00:42:11","","","","00:42:11","","","2.8","75.0","3.0","","140","167","","","","","","","","","Saucony Peregrine","","Dice O with core and orienteering legs. ",""
"2018-04-12","19","Orienteering","race","","00:36:55","","","","","","00:36:55","4.7","160.0","5.0","","168","192","","","","","","","","","Saucony Peregrine","","Muddy X league, tough running.",""
"2018-04-12","21","Strength","warm up/down","","00:12:13","","00:12:13","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back strength ",""
"2018-04-13","","Trail Run","","","00:52:08","","","","00:52:08","","","9.2","160.0","3.0","","153","168","","","","","","","","","Saucony Peregrine","","Steady run",""
"2018-04-14","8","Trail Run","long","","01:24:06","","","","","01:24:06","","13.8","245.0","4.0","","160","182","","","","","","","","","Saucony Peregrine","","Cold and rainy. Hands froze but over all was still a really good with trav and tarno.",""
"2018-04-16","16","Trail Run","","","01:05:08","","","","01:05:08","","","10.7","125.0","3.0","","","","","","","","","","","1","Saucony Peregrine","","Tough running with the new mud and snow. ",""
"2018-04-16","21","Strength","warm up/down","","00:15:17","","00:15:17","","","","","","","1.0","","","","","","","","","","","","","","2 min plank with leg lifts
20 lunges each leg
25 Reactive elastic hip extension each leg
15 ball march each leg
1 set of back strength 
",""
"2018-04-17","15","Trail Run","","","00:40:00","","","","00:40:00","","","4.0","40.0","3.0","","","","","","","","","","","","Saucony Peregrine","","School orienteering practice so I ran with some other and did so in run coaching with them.",""
"2018-04-17","18","Trail Run","warm up/down","","00:29:32","","","00:29:32","","","","3.3","25.0","2.0","","","","","","","","","","","","Saucony Peregrine","","Warm up to intervals",""
"2018-04-17","19","Trail Run","intervals","","00:25:34","","","","","","00:25:34","4.8","70.0","5.0","","159","190","","","","","","","","","Saucony Peregrine","","3 repeats of longer hill intervals. ",""
"2018-04-17","19","Trail Run","warm up/down","","00:10:09","","","00:10:09","","","","1.5","30.0","2.0","","148","190","","","","","","","","","Saucony Peregrine","","",""
"2018-04-17","22","Strength","warm up/down","","00:09:44","","00:09:44","","","","","","","1.0","","","","","","","","","","","","","","2 min plank with leg lifts
20 lunges each leg
30 Reactive elastic hip extension each leg
15 pistol squats each leg",""
"2018-04-18","19","Orienteering","","","00:40:00","","","","","00:40:00","","6.0","","4.0","","","","","","","","","","","","Saucony Peregrine","","Ran an orienteering course with Mike Waddington giving so coaching tips, big help, thanks!",""
"2018-04-19","19","Orienteering","","","00:41:55","","","00:41:55","","","","4.5","125.0","2.0","","132","152","","","","","","","","","Saucony Peregrine","","Started with a 10 minute warm up. Corridor was pretty familiar from the day before. ",""
"2018-04-20","15","Orienteering","","","00:36:02","","","00:36:02","","","","4.8","","2.0","","","","","","","","","","","","Saucony Peregrine","","School orienteering practice so spent the practice doing in run coaching of team mates. ",""
"2018-04-21","8","Trail Run","long","","02:01:54","","","","02:01:54","","","19.0","","3.0","","155","182","","","","","","","","","Saucony Peregrine","","Good SMT with trav. Enjoyable conversations about Turning completeness and changing law economics. ",""
"2018-04-22","15","Trail Run","","","00:54:54","","","","00:54:54","","","10.6","195.0","3.0","","158","172","","","","","","","","1","Saucony Peregrine","","Steady run in the new warmth. ",""
"2018-04-24","","Trail Run","","","00:32:39","","","","00:32:39","","","6.0","70.0","3.0","","153","172","","","","","","","","","Saucony Peregrine","","Easy with the race weekend in mind.",""
"2018-04-25","11","Orienteering","race","","00:22:51","","","","00:22:51","","","4.3","30.0","3.0","","140","194","","","","","","","","","Saucony Peregrine","","School orienteering meet. Enjoyed the course as it rewarded being able to orienteer. ",""
"2018-04-26","19","Orienteering","race","","00:41:27","","","","","00:41:27","","8.1","25.0","4.0","","169","192","","","","","","","","","Saucony Peregrine","","Got a cramp half way through the course which sucked but still enjoyed the area. ",""
"2018-04-28","11","Orienteering","race","","01:23:42","","","","","01:23:42","","8.6","360.0","4.0","","169","188","","","","","","","","","VJ Sport Bold","","First race of the weekend didn't go so well with a larger mistake and some smaller mistakes.",""
"2018-04-28","10","Orienteering","warm up/down","","00:40:00","","","","00:40:00","","","5.0","","3.0","","","","","","","","","","","","VJ Sport Bold","","Ran the model course at the bottom of the mountain so got lots of climb in on my way back up.",""
"2018-04-29","10","Orienteering","warm up/down","","00:40:00","","","00:40:00","","","","5.0","200.0","2.0","","","","","","","","","","","","VJ Sport Bold","","Warmed up on the model map which was at the bottom of the mountain so go a bunch of climb in on my way back up.",""
"2018-04-29","11","Orienteering","race","","01:10:14","","","","","01:10:14","","7.7","320.0","4.0","","","","","","","","","","","","VJ Sport Bold","","Race went better than yesterday.",""
"2018-04-29","10","Trail Run","warm up/down","","00:40:00","","","00:40:00","","","","6.0","20.0","2.0","","","","","","","","","","","","VJ Sport Bold","","Warm before race. ",""
"2018-05-01","18","Trail Run","warm up/down","","00:19:13","","","00:19:13","","","","2.6","10.0","2.0","","","","","","","","","","","","Saucony Peregrine","","Warm up to intervals ",""
"2018-05-01","18","Trail Run","intervals","","00:25:59","","","","","","00:25:59","5.1","5.0","5.0","","","","","","","","","","","","Saucony Peregrine","","5 1 km loops chasing Sudden",""
"2018-05-01","19","Trail Run","warm up/down","","00:15:38","","","00:15:38","","","","2.0","","2.0","","","","","","","","","","","","Saucony Peregrine","","",""
"2018-05-02","19","Strength","","","00:10:00","","00:10:00","","","","","","","1.0","","","","","","","","","","","1","","","Core at ARX",""
"2018-05-03","19","Orienteering","","","00:45:06","","","","00:45:06","","","5.4","70.0","3.0","","","","","","","","","","","","Saucony Peregrine","","Really good training focusing on compass work and longer legs. ",""
"2018-05-04","15","Orienteering","race","","00:32:48","","","","","00:32:48","","5.4","60.0","4.0","","","","","","","","","","","","Mizuno Wave Rider","","Score O race at school training. ",""
"2018-05-05","10","Trail Run","warm up/down","","00:40:00","","","00:40:00","","","","4.0","","2.0","","","","","","","","","","","","VJ Sport Bold","","Warm up for race",""
"2018-05-05","11","Orienteering","race","","00:54:46","","","","","","00:54:46","8.2","180.0","5.0","","177","190","","","","","","","","","VJ Sport Bold","","Felt really good for in this race. Had focus and did well with using my compass. ",""
"2018-05-05","12","Trail Run","warm up/down","","00:10:00","","00:10:00","","","","","1.5","","1.0","","","","","","","","","","","","VJ Sport Bold","","Cooling down from race. ",""
"2018-05-05","13","Orienteering","","","00:29:16","","","","","00:29:16","","3.6","85.0","4.0","","","","","","","","","","","","VJ Sport Bold","","Running the last loop of the blue course. ",""
"2018-05-06","11","Cycling","","","00:40:00","","","","00:40:00","","","16.0","200.0","3.0","","","","","","","","","","","","","","Cycling on the bruce trail. ",""
"2018-05-07","16","Trail Run","","","01:03:28","","","","01:03:28","","","11.4","245.0","3.0","","","","","","","","","","","","Mizuno Wave Rider","","This was to first time running my route out the highway in awhile which was nice. As well with the wind storm lots of trees down. I see more jumping in more future runs. ",""
"2018-05-07","21","Strength","warm up/down","","00:10:31","","00:10:31","","","","","","","1.0","","","","","","","","","","","","","","2 min plank
20 lunges each leg
25 Reactive elastic hip extension each leg
15 leg ups",""
"2018-05-08","15","Orienteering","race","","00:38:51","","","","00:38:51","","","7.1","100.0","3.0","","","","","","","","","","","","Mizuno Wave Rider","","School orienteering training race. ",""
"2018-05-08","18","Trail Run","warm up/down","","00:28:06","","","","00:28:06","","","3.2","40.0","3.0","","133","164","","","","","","","","","Saucony Peregrine","","Warm up to intervals",""
"2018-05-08","18","Trail Run","intervals","","00:25:17","","","","","","00:25:17","5.1","30.0","5.0","","160","185","","","","","","","","","Saucony Peregrine","","My legs were a bit sore from the school orienteering early on the day so only did 4 1 km loops. ",""
"2018-05-08","18","Trail Run","warm up/down","","00:11:55","","","00:11:55","","","","1.0","30.0","2.0","","130","184","","","","","","","","","Mizuno Wave Rider","","",""
"2018-05-09","18","Orienteering","","","00:20:00","","","00:20:00","","","","3.0","30.0","2.0","","","","","","","","","","","1","Saucony Peregrine","","Placing pipe cleaners at control without flags",""
"2018-05-09","21","Strength","warm up/down","","00:13:26","","00:13:26","","","","","","","1.0","","","","","","","","","","","","","","2 min plank with leg lifts
25 lunges each leg
30 Reactive elastic hip extension each leg
15 ball bridge each leg",""
"2018-05-10","19","Orienteering","race","","00:31:09","","","","","00:31:09","","5.9","70.0","4.0","","171","190","","","","","","","","","Saucony Peregrine","","Was shaky in the first half but then really turn up the speed for the park area. ",""
"2018-05-10","7","Strength","warm up/down","","00:13:03","","00:13:03","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back strength ",""
"2018-05-11","15","Orienteering","race","","00:45:00","","","","","00:45:00","","7.5","85.0","4.0","","159","181","","","","","","","","","Saucony Peregrine","","Last of the school orienteering training races. ",""
"2018-05-13","16","Trail Run","","","00:53:56","","","","00:53:56","","","7.9","145.0","3.0","","145","168","","","","","","","","","On Cloudventure","","Trying out the new shoes.",""
"2018-05-13","22","Strength","warm up/down","","00:12:09","","00:12:09","","","","","","","1.0","","","","","","","","","","","","","","2 min plank with leg lifts
25 lunges each leg
15 ball marching each leg
30 Reactive elastic hip extension each leg
15 pistol squats each leg",""
"2018-05-15","16","Trail Run","","","00:36:40","","","00:36:40","","","","4.5","70.0","2.0","","","","","","","","","","","","On Cloudventure","","Easy run before the school orienteering race tomorrow. ",""
"2018-05-15","21","Strength","warm up/down","","00:11:12","","00:11:12","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back strength exercises  ",""
"2018-05-16","11","Orienteering","race","","00:58:55","","","","","00:58:55","","10.1","130.0","4.0","","167","188","","","","","","","","","VJ Sport Bold","","Really enjoyable last school orienteering race. ",""
"2018-05-17","19","Orienteering","","","00:47:26","","","","00:47:26","","","5.8","60.0","3.0","","154","176","","","","","","","","","On Cloudventure","","Good training despite my poor choice of 3/4 pants with no socks leading to ripped up shines. ",""
"2018-05-17","21","Strength","warm up/down","","00:11:44","","00:11:44","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises.  ",""
"2018-05-18","","Trail Run","tempo","","01:00:37","","","","01:00:37","","","11.4","100.0","3.0","","156","176","","","","","","","","","On Cloudventure","","Alternating tempo 3 minutes on and 4 minutes off. ",""
"2018-05-18","22","Strength","warm up/down","","00:08:44","","00:08:44","","","","","","","1.0","","","","","","","","","","","","","","2 min plank with leg lifts
15 lunges each leg
30 Reactive elastic hip extension each leg
15 legs ups each leg",""
"2018-05-19","12","Trail Run","long","","02:05:22","","","","02:05:22","","","21.3","290.0","3.0","","151","172","","","","","","","","","On Cloudventure","","Long steady run. ",""
"2018-05-21","21","Strength","warm up/down","","00:17:01","","00:17:01","","","","","","","1.0","","","","","","","","","","","","","","2 min plank with leg lifts
25 lunges each leg
15 ball march each leg
15 ball bridge each leg
30 Reactive elastic hip extension each leg",""
"2018-05-22","18","Trail Run","warm up/down","","00:27:02","","","","00:27:02","","","3.6","30.0","3.0","","","","","","","","","","","","On Cloudventure","","Warm up to intervals ",""
"2018-05-22","18","Trail Run","intervals","","00:30:09","","","","","","00:30:09","6.2","5.0","5.0","","165","194","","","","","","","","","On Cloudventure","","5 repeats of 1km ioops",""
"2018-05-22","19","Trail Run","warm up/down","","00:12:46","","","00:12:46","","","","1.5","20.0","2.0","","150","193","","","","","","","","","On Cloudventure","","",""
"2018-05-22","22","Strength","warm up/down","","00:11:43","","00:11:43","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises  ",""
"2018-05-23","19","Orienteering","","","00:46:53","","","","00:46:53","","","4.9","95.0","3.0","","","","","","","","","","","","On Cloudventure","","Following along practice. ",""
"2018-05-23","21","Strength","warm up/down","","00:10:43","","00:10:43","","","","","","","1.0","","","","","","","","","","","","","","2 min plank with leg lifts
30 lunges each leg
30 Reactive elastic hip extension each leg
30 leg ups",""
"2018-05-24","19","Orienteering","race","","00:33:26","","","","","","00:33:26","7.2","70.0","5.0","","176","192","","","","","","","","","On Cloudventure","","Intense x league race. ",""
"2018-05-24","21","Strength","warm up/down","","00:12:03","","00:12:03","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises  ",""
"2018-05-25","15","Orienteering","","","01:32:17","","","01:32:17","","","","12.1","165.0","2.0","","145","168","","","","","","","","","On Cloudventure","","Collecting flagging tape from Wednesday. Tough with the sun though. ",""
"2018-05-26","8","Trail Run","long","","01:43:09","","","","01:43:09","","","15.0","250.0","3.0","","106","203","","","","","","","","","On Cloudventure","","Good to back at SMT after several weeks not being able to go. Lots of very short intense sprints. ",""
"2018-05-26","22","Strength","warm up/down","","00:12:09","","00:12:09","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises. ",""
"2018-05-27","10","Cycling","","","00:40:00","","","00:40:00","","","","15.0","265.0","2.0","","","","","","","","","","","","","","",""
"2018-05-27","21","Strength","warm up/down","","00:10:19","","00:10:19","","","","","","","1.0","","","","","","","","","","","","","","2 minute plank
30 lunges each leg
40 Reactive elastic hip extension each leg
20 leg ups eahc leg",""
"2018-05-28","21","Strength","warm up/down","","00:10:29","","00:10:29","","","","","","","1.0","","","","","","","","","","","","","","2 min plank
25 lunges each leg
35 Reactive elastic hip extension each leg
20 pistol",""
"2018-05-29","","Trail Run","warm up/down","","00:35:01","","","","00:35:01","","","4.2","25.0","3.0","","","","","","","","","","","","On Cloudventure","","Warming up to intervals. Part of this was on a bike getting to Churchill. ",""
"2018-05-29","18","Trail Run","intervals","","00:32:24","","","","","","00:32:24","6.21","55.0","5.0","","175","192","","","","","","","","","On Cloudventure","","30 seconds on, 30 seconds off. Repeated 30 times. ",""
"2018-05-29","18","Trail Run","warm up/down","","00:10:28","","","00:10:28","","","","1.2","","2.0","","","","","","","","","","","","On Cloudventure","","",""
"2018-05-30","21","Strength","warm up/down","","00:09:56","","00:09:56","","","","","","","1.0","","","","","","","","","","","1","","","25 lunges each leg
25 ball marching each leg
25 Reactive elastic hip extension each leg
10 pistol squat each leg",""
"2018-05-31","","Orienteering","","","00:41:21","","","","00:41:21","","","4.8","80.0","3.0","","","","","","","","","","","","On Cloudventure","","O tervals",""
"2018-06-01","18","Orienteering","","","00:56:17","","","","00:56:17","","","5.0","85.0","3.0","","143","165","","","","","","","","","On Cloudventure","","First training of the camp. Control pick with a focus on control taking method. ",""
"2018-06-02","10","Orienteering","","","01:16:28","","","","01:16:28","","","5.5","80.0","3.0","","137","161","","","","","","","","","VJ Sport Bold","","Narrowing corridor. Tough but felt it was good training. ",""
"2018-06-02","13","Orienteering","intervals","","00:36:05","","","","","00:36:05","","4.4","30.0","4.0","","146","188","","","","","","","","","On Cloudventure","","5 o tervals though Perth (the area of this past year's COC sprint). Realy enjoyable racing with the other HPP juniors in the intervals.",""
"2018-06-02","9","Trail Run","warm up/down","","00:20:00","","00:20:00","","","","","","","1.0","","","","","","","","","","","","VJ Sport Bold","","",""
"2018-06-02","13","Trail Run","warm up/down","","00:13:00","","00:13:00","","","","","","","1.0","","","","","","","","","","","","On Cloudventure","","",""
"2018-06-02","20","Strength","warm up/down","","00:15:00","","00:15:00","","","","","","","1.0","","","","","","","","","","","","","","Stretches lead by Adventure Girl. ",""
"2018-06-03","10","Orienteering","race","","01:19:46","","","","","01:19:46","","8.3","110.0","4.0","","160","182","","","","","","","","","VJ Sport Bold","","A couple mistakes but felt I reset after them well. ",""
"2018-06-03","10","Trail Run","warm up/down","","00:20:00","","00:20:00","","","","","3.219","","1.0","","","","","","","","","","","","VJ Sport Bold","","",""
"2018-06-03","13","Orienteering","race","","00:17:31","","","","","00:17:31","","2.1","60.0","4.0","","160","174","","","","","","","","","VJ Sport Bold","","First lap in relay. ",""
"2018-06-03","13","Orienteering","race","","00:20:03","","","","","00:20:03","","2.1","45.0","4.0","","153","173","","","","","","","","","VJ Sport Bold","","Relay lap 2",""
"2018-06-04","22","Strength","warm up/down","","00:12:29","","00:12:29","","","","","","","1.0","","","","","","","","","","","","","","3 sets of back exercises",""
"2018-06-06","","Strength","warm up/down","","00:22:54","","","","00:22:54","","","","","3.0","","","","","","","","","","","","","","Turbo Core workout with adventure girl",""
"2018-06-07","19","Orienteering","race","","00:40:58","","","","","00:40:58","","12.714","70.0","4.0","","166","185","","","","","","","","","Mizuno Wave Rider","","About half way through hit knee pain in my right knee. Slowed down but it was still tough going for the rest. ",""
"2018-06-10","10","Orienteering","race","","00:44:19","","","","00:44:19","","","5.8","95.0","3.0","","151","179","","","","","","","","","On Cloudventure","","Took this race easy. Tried out kt tape which seemed to work pretty well and only did the first map which didn't take me the hour to do but I didn't want to push my knees. ",""
"2018-06-11","21","Strength","warm up/down","","00:18:08","","00:18:08","","","","","","","1.0","","","","","","","","","","","","","","2 Back sets
30 squats
10 lunges each leg
40 Reactive elastic hip extension each leg
40 forward elastic hip extension each leg",""
"2018-06-12","18","Trail Run","warm up/down","","00:27:06","","","00:27:06","","","","3.8","35.0","2.0","","","","","","","","","","","","Mizuno Wave Rider","","Warm up to intervals ",""
"2018-06-12","18","Trail Run","intervals","","00:27:29","","","","","","00:27:29","4.6","45.0","5.0","","","","","","","","","","","","Mizuno Wave Rider","","3 sets of 3-2-1 intervals ",""
"2018-06-12","18","Trail Run","warm up/down","","00:12:02","","","00:12:02","","","","1.5","5.0","2.0","","","","","","","","","","","","Mizuno Wave Rider","","",""
"2018-06-13","15","Trail Run","","","00:59:01","","","","00:59:01","","","10.8","150.0","3.0","","157","174","","","","","","","","","Mizuno Wave Rider","","Longer steady run. ",""
"2018-06-14","21","Strength","warm up/down","","00:22:54","","00:22:54","","","","","","","1.0","","","","","","","","","","","","","","2 minute plank
40 squats
30 lunges each leg
15 ball bridge each leg
20 push ups
40 Reactive elastic hip extension each leg
30 leg raises each leg 
15 heel raises each leg",""
"2018-06-15","16","Trail Run","tempo","","00:46:03","","","","","00:46:03","","9.1","150.0","4.0","","161","183","","","","","","","","","Mizuno Wave Rider","","",""
"2018-06-16","8","Trail Run","long","","01:28:47","","","","01:28:47","","","12.4","175.0","3.0","","","","","","","","","","","","Mizuno Wave Rider","","A bit of a slower SMT with my knees and Trav's calf",""
"2018-06-17","21","Strength","warm up/down","","00:13:00","","00:13:00","","","","","","","1.0","","","","","","","","","","","","","","40 Reactive elastic hip extension each leg
40 Forward elastic hip extension each leg
30 leg raises each leg
20 squats ",""
"2018-06-18","22","Strength","warm up/down","","00:19:31","","00:19:31","","","","","","","1.0","","","","","","","","","","","","","","45 squats
45 lunges each leg
30 leg lifts each leg
40 Reactive elastic hip extension each leg
40 forward elastic hip extension each leg
20 heel raises each leg",""
"2018-06-21","21","Strength","warm up/down","","00:16:00","","00:16:00","","","","","","","1.0","","","","","","","","","","","","","","40 squats
35 lunges each leg
25 Reactive elastic hip extension each leg
25 forward elastic hip extension each leg",""
"2018-06-22","","Strength","warm up/down","","00:11:54","","00:11:54","","","","","","","1.0","","","","","","","","","","","","","","",""
"2018-06-24","","Strength","warm up/down","","00:36:04","","00:36:04","","","","","","","1.0","","","","","","","","","","","","","","",""
"2018-06-27","","Strength","warm up/down","","00:18:27","","00:18:27","","","","","","","1.0","","","","","","","","","","","","","","",""
"2018-06-28","14","Trail Run","","","01:03:34","","","","01:03:34","","","16.415","","3.0","","","","","","","","","","","","Inov F-LITE 195","","",""
"2018-06-29","16","Trail Run","","","00:40:04","","","","00:40:04","","","7.0","75.0","3.0","","","","","","","","","","","","Inov F-LITE 195","","",""
"2018-07-01","12","Road Run","tempo","","00:24:26","","","","","00:24:26","","8.047","","4.0","","161","175","","","","","","","","","Inov F-LITE 195","","Felt awful the plane ride and definitely jet lagged. Was good to get out and stretch the legs though. ",""
"2018-07-02","11","Orienteering","warm up/down","","00:44:01","","00:44:01","","","","","2.8","10.0","1.0","","114","156","","","","","","","","","Inov F-LITE 195","","First time on a map in Hungary. Took it very slow to really see what different parts of the terrain looked like and how it was mapped. Very different from back home. ",""
"2018-07-02","","Orienteering","","","01:00:09","","","","01:00:09","","","7.3","45.0","3.0","","156","173","","","","","","","","","Inov F-LITE 195","","Long terrain training. Really enjoyed it, most legs were just go straight and keep track of which block of forest you were in. ",""
"2018-07-03","10","Orienteering","warm up/down","","00:23:14","","00:23:14","","","","","1.5","10.0","1.0","","111","127","","","","","","","","","Inov F-LITE 195","","Middle terrain walk. Very technical. ",""
"2018-07-03","10","Orienteering","","","00:41:17","","","","00:41:17","","","5.1","5.0","3.0","","149","173","","","","","","","","","Inov F-LITE 195","","Running a few controls in the middle terrain. Big take away from this was to know exactly what the control area will look like and have a very definite AP. ",""
"2018-07-03","19","Trail Run","warm up/down","","00:20:00","","","00:20:00","","","","4.828","","2.0","","","","","","","","","","","","Inov F-LITE 195","","",""
"2018-07-03","19","Orienteering","intervals","","00:33:47","","","","","00:33:47","","5.2","5.0","4.0","","166","192","","","","","","","","","Inov F-LITE 195","","Relay terrain training. 5 sets of o-tervals. This terrain was a lot easier than the middle, plus it was fun to have a training where we were pushing speed. ",""
"2018-07-04","","Strength","warm up/down","","00:22:02","","00:22:02","","","","","","","1.0","","92","110","","","","","","","","1","","","Core workout lead by AdventureGirl!",""
"2018-07-05","10","Orienteering","","","00:53:30","","","","00:53:30","","","4.2","20.0","3.0","","143","174","","","","","","","","","Inov F-LITE 195","","More training in middle terrain. Felt pretty good, was able to keep track of the vegetation with decent speed. Messed up a couple controls in the circles because I didn't good APs. ",""
"2018-07-06","11","Orienteering","","","01:07:51","","","01:07:51","","","","4.7","10.0","2.0","","118","162","","","","","","","","","Inov F-LITE 195","","Final training on the middle terrain before JWOC. Unfortunately wasn't able to end on a high note as I had a 35 minute control. This started from getting distracted by another runner and then before I found the control it was picked up so I ended finding the same spot a couple times. At least this gave me some relocation practice in the junipers (bailing out the a trail).  ",""
"2018-07-06","10","Trail Run","warm up/down","","00:25:00","","00:25:00","","","","","2.0","","1.0","","","","","","","","","","","","Inov F-LITE 195","","",""
"2018-07-06","16","Orienteering","","","00:19:19","","","","","00:19:19","","3.8","","4.0","","167","184","","","","","","","","","Inov F-LITE 195","","First sprint o in a while so it was quite fun, especially with euro street layout that I'm not use to. Overall went pretty well with some route choice mistakes where I missed some diagonals. ",""
"2018-07-06","12","Road Run","warm up/down","","00:08:00","","00:08:00","","","","","1.5","","1.0","","","","","","","","","","","","Inov F-LITE 195","","",""
"2018-07-07","10","Orienteering","","","00:41:51","","","00:41:51","","","","4.5","5.0","2.0","","135","175","","","","","","","","","Inov F-LITE 195","","Final long terrain training before JWOC. Wasn't very focused so was sloppy pretty much the whole time. ",""
"2018-07-08","","Flexibility","warm up/down","","00:20:00","00:20:00","","","","","","","","0.0","","","","","","","","","","","","","","Yoga lead by sensei Naess",""
